trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 0.95}",20,0,-113.70487996044396,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.002, 'e': 0.8999999999999999}",25,0,-139.4189128478772,"{0: 12, 1: 7, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.002, 'e': 0.8499999999999999}",20,4,-18.29142926240849,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
4,False,"{'a': 0.002, 'e': 0.7999999999999998}",25,0,-122.06549727336291,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.002, 'e': 0.7499999999999998}",35,0,-199.85937250443,"{0: 21, 1: 3, 2: 7, 3: 1, 4: 3}",0
6,False,"{'a': 0.002, 'e': 0.6999999999999997}",25,0,-69.42727312699336,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.002, 'e': 0.6499999999999997}",25,12,12.378181950328514,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.002, 'e': 0.5999999999999996}",20,0,-83.70130132547571,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.002, 'e': 0.5499999999999996}",20,0,-53.52023959509684,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.002, 'e': 0.4999999999999996}",20,0,-81.49854299034492,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.002, 'e': 0.4499999999999996}",20,12,1.605287022809378,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.002, 'e': 0.39999999999999963}",30,20,-13.83888336207517,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.002, 'e': 0.34999999999999964}",25,0,-50.03572187697088,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.29999999999999966}",25,17,4.480814477883318,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.002, 'e': 0.24999999999999967}",20,11,2.067189627916971,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.002, 'e': 0.19999999999999968}",20,13,10.420024364770814,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.002, 'e': 0.1499999999999997}",35,9,40.05350035764592,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.002, 'e': 0.09999999999999969}",25,0,-36.06366861491482,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.002, 'e': 0.049999999999999684}",30,3,-98.26992910665318,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 3}",1
20,False,"{'a': 0.002, 'e': -3.191891195797325e-16}",25,7,28.99969701662111,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,-27.054843764432153,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-131.8580133649494,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 4}",0
3,True,"{'a': 0, 'e': 0}",25,0,-12.156326905383496,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-71.45909709269588,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,22.984542845947036,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-51.741123930915414,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",30,16,25.13586570077884,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,0,-4.130158969202669,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,12,15.50259591705301,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,7,1.5631349639835326,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
