trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",25,0,-79.58185745873212,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",30,0,-150.387549128789,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",30,0,-87.65616948308538,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",30,0,-186.63215460840973,"{0: 12, 1: 5, 2: 11, 3: 1, 4: 1}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",20,0,-49.14302385787821,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",20,0,-125.96901020029314,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",20,0,-85.52324624441361,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",25,0,-123.33294363197052,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",30,0,-165.12081476961333,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",20,0,-77.98149737838591,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",25,0,-126.9857448131299,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",25,0,-176.61286863060784,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 4}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",25,0,-145.86007802994973,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",20,9,-11.94061938236354,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",20,10,-88.79253999841488,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 2}",1
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",25,0,-79.50046179506128,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",25,0,-157.65668793413505,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",20,13,-13.085612715060849,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",20,8,-95.17075048694085,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 2}",1
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",30,0,-142.57938302477206,"{0: 18, 1: 6, 2: 3, 3: 1, 4: 2}",0
21,False,"{'a': 0.002, 'e': 0.9607894391523232}",20,0,-72.38205034949021,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
