trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-212.8200646313935,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.6065306597126334}",25,0,-42.26134981768991,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,0,-42.572958003405354,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.22313016014842982}",30,0,-207.52841608949828,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.1353352832366127}",30,0,-124.93795202516948,"{0: 21, 1: 0, 2: 7, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.0820849986238988}",25,0,-110.86200170717896,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.049787068367863944}",25,0,-110.00233145118125,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.0301973834223185}",30,0,-157.96610939438546,"{0: 15, 1: 3, 2: 10, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.01831563888873418}",20,0,-38.75029521685196,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.011108996538242306}",20,0,-91.61371896009447,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.006737946999085467}",25,0,-206.13519026768162,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.004086771438464067}",35,0,-186.5606571998401,"{0: 17, 1: 3, 2: 13, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.0024787521766663585}",25,0,-19.964554777462485,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.0015034391929775724}",25,0,-61.50365843541853,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.0009118819655545162}",30,0,-139.55985360079123,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.0005530843701478336}",30,0,-163.60473000203558,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.00033546262790251185}",20,0,-70.60262872067372,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.00020346836901064417}",20,0,-76.75665421049841,"{0: 10, 1: 6, 2: 2, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.00012340980408667956}",25,0,-166.66522440825577,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 7.48518298877006e-05}",20,0,-129.3814073723774,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-101.99483954635001,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,7,-43.90448212130223,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,-143.96723541783746,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-109.37828166962984,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-43.49733237034919,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-117.7391759027208,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-141.3965351502879,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,0,-46.27692502266102,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,0,-185.00315590385478,"{0: 18, 1: 2, 2: 5, 3: 3, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",25,0,-42.7124410058188,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
